generated_at_utc,event_id,kickoff_utc,match,forecast_status,market,selection,selection_key,model_probability,market_probability,edge,availability_status,availability_penalty,live_resolved_rows,calibration_gate,decision,rank_score,paper_stake_eur,real_stake_eur
2026-06-29T16:22:09.041690+00:00,760499,2026-07-03T18:00:00+00:00,Australia - Egypt,pre_match,TOTALS_90,Under 1.5,under,0.40611983535480556,0.3965692709410724,0.009550564413733142,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04044943558626686,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760497,2026-07-02T19:00:00+00:00,Spain - Austria,pre_match,1X2_90,Draw,draw,0.19072477234423457,0.18126641544783023,0.00945835689640434,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04054164310359566,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760494,2026-07-02T00:00:00+00:00,United States - Bosnia-Herzegovina,pre_match,1X2_90,Bosnia-Herzegovina,away,0.11661930741955209,0.10729226109733114,0.00932704632222095,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04067295367777905,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760491,2026-07-01T01:00:00+00:00,Mexico - Ecuador,pre_match,TOTALS_90,Under 1.5,under,0.4166725702105345,0.4086031134061807,0.00806945680435378,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04193054319564622,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760500,2026-07-03T22:00:00+00:00,Argentina - Cape Verde,pre_match,1X2_90,Argentina,home,0.8295937511365181,0.8220120196305845,0.007581731505933664,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04241826849406634,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760493,2026-07-01T20:00:00+00:00,Belgium - Senegal,pre_match,1X2_90,Senegal,away,0.27922693082860783,0.2717905172592324,0.007436413569375411,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04256358643062459,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760500,2026-07-03T22:00:00+00:00,Argentina - Cape Verde,pre_match,1X2_90,Draw,draw,0.13112917628409626,0.12420185628778628,0.00692731999630998,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04307268000369002,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760496,2026-07-02T23:00:00+00:00,Portugal - Croatia,pre_match,1X2_90,Draw,draw,0.2730753941884475,0.26618281083716944,0.00689258335127807,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04310741664872193,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760496,2026-07-02T23:00:00+00:00,Portugal - Croatia,pre_match,1X2_90,Croatia,away,0.20547985649352316,0.1991040255476017,0.006375830945921451,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04362416905407855,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760500,2026-07-03T22:00:00+00:00,Argentina - Cape Verde,pre_match,TOTALS_90,Over 2.5,over,0.5785672871462649,0.5725028398764307,0.006064447269834239,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.043935552730165764,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760501,2026-07-04T01:30:00+00:00,Colombia - Ghana,pre_match,1X2_90,Colombia,home,0.636552808843741,0.6305420164720354,0.006010792371705542,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04398920762829446,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760495,2026-07-01T16:00:00+00:00,England - Congo DR,pre_match,TOTALS_90,Over 2.5,over,0.506646359620001,0.5013181259781415,0.0053282336418595255,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04467176635814048,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760489,2026-06-29T20:30:00+00:00,Germany - Paraguay,pre_match,1X2_90,Germany,home,0.710482836665409,0.7063470619877239,0.004135774677685111,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04586422532231489,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760501,2026-07-04T01:30:00+00:00,Colombia - Ghana,pre_match,1X2_90,Draw,draw,0.24183467260917121,0.23809388098169543,0.003740791627475787,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.046259208372524216,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760492,2026-06-30T21:00:00+00:00,France - Sweden,pre_match,TOTALS_90,Over 3.5,over,0.43803665668717323,0.4344766274748845,0.0035600292122887067,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.046439970787711296,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760499,2026-07-03T18:00:00+00:00,Australia - Egypt,pre_match,1X2_90,Draw,draw,0.3317659545222774,0.3284752196943521,0.0032907348279253013,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.0467092651720747,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760489,2026-06-29T20:30:00+00:00,Germany - Paraguay,pre_match,TOTALS_90,Under 2.5,under,0.4444973472299364,0.44265953725068785,0.0018378099792485392,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.048162190020751464,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760490,2026-06-30T17:00:00+00:00,Ivory Coast - Norway,pre_match,1X2_90,Ivory Coast,home,0.2629152087123861,0.2617183817053527,0.0011968270070333853,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04880317299296662,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760494,2026-07-02T00:00:00+00:00,United States - Bosnia-Herzegovina,pre_match,TOTALS_90,Under 2.5,under,0.47326842600558505,0.47215066751868473,0.001117758486900322,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04888224151309968,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760489,2026-06-29T20:30:00+00:00,Germany - Paraguay,pre_match,1X2_90,Draw,draw,0.19191207945943156,0.19086992499139516,0.0010421544680364048,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.0489578455319636,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760497,2026-07-02T19:00:00+00:00,Spain - Austria,pre_match,TOTALS_90,Over 2.5,over,0.5234365928793878,0.5230357749247617,0.00040081795462609815,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.049599182045373905,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760501,2026-07-04T01:30:00+00:00,Colombia - Ghana,pre_match,TOTALS_90,Under 2.5,under,0.570389570142096,0.570175121743506,0.00021444839858997256,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04978555160141003,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760490,2026-06-30T17:00:00+00:00,Ivory Coast - Norway,pre_match,1X2_90,Draw,draw,0.2710770623714133,0.27093241312204,0.000144649249373352,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04985535075062665,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760493,2026-07-01T20:00:00+00:00,Belgium - Senegal,pre_match,1X2_90,Draw,draw,0.2953749431303726,0.2953521543810303,2.2788749342306236e-05,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.0499772112506577,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760495,2026-07-01T16:00:00+00:00,England - Congo DR,pre_match,1X2_90,Congo DR,away,0.07513650045313153,0.07512449423355472,1.2006219576810029e-05,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.04998799378042319,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760499,2026-07-03T18:00:00+00:00,Australia - Egypt,pre_match,1X2_90,Egypt,away,0.38373755423410527,0.38394772262985344,-0.00021016839574816704,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05021016839574817,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760501,2026-07-04T01:30:00+00:00,Colombia - Ghana,pre_match,TOTALS_90,Over 2.5,over,0.42961042985790404,0.42982487825649396,-0.00021444839858991704,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05021444839858992,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760497,2026-07-02T19:00:00+00:00,Spain - Austria,pre_match,TOTALS_90,Under 2.5,under,0.4765634071206122,0.4769642250752383,-0.00040081795462609815,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.0504008179546261,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760497,2026-07-02T19:00:00+00:00,Spain - Austria,pre_match,1X2_90,Austria,away,0.08544661419577457,0.0859369478879195,-0.0004903336921449342,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05049033369214494,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760494,2026-07-02T00:00:00+00:00,United States - Bosnia-Herzegovina,pre_match,TOTALS_90,Over 2.5,over,0.526731573994415,0.5278493324813153,-0.001117758486900322,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.051117758486900325,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760490,2026-06-30T17:00:00+00:00,Ivory Coast - Norway,pre_match,1X2_90,Norway,away,0.4660077289162005,0.46734920517260725,-0.0013414762564067373,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05134147625640674,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760489,2026-06-29T20:30:00+00:00,Germany - Paraguay,pre_match,TOTALS_90,Over 2.5,over,0.5555026527700636,0.5573404627493121,-0.0018378099792485392,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05183780997924854,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760499,2026-07-03T18:00:00+00:00,Australia - Egypt,pre_match,1X2_90,Australia,home,0.28449649124361726,0.28757705767579445,-0.0030805664321771897,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05308056643217719,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760492,2026-06-30T21:00:00+00:00,France - Sweden,pre_match,TOTALS_90,Under 3.5,under,0.5619633433128268,0.5655233725251154,-0.0035600292122885957,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.0535600292122886,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760491,2026-07-01T01:00:00+00:00,Mexico - Ecuador,pre_match,1X2_90,Draw,draw,0.32339123424315397,0.32784457283425317,-0.0044533385910991985,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.0544533385910992,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760488,2026-06-30T01:00:00+00:00,Netherlands - Morocco,pre_match,1X2_90,Morocco,away,0.2719490312670683,0.2764081832118742,-0.004459151944805895,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.0544591519448059,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760489,2026-06-29T20:30:00+00:00,Germany - Paraguay,pre_match,1X2_90,Paraguay,away,0.09760508387515938,0.102783013020881,-0.005177929145721613,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.055177929145721616,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760495,2026-07-01T16:00:00+00:00,England - Congo DR,pre_match,TOTALS_90,Under 2.5,under,0.49335364037999896,0.4986818740218585,-0.0053282336418595255,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05532823364185953,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760500,2026-07-03T22:00:00+00:00,Argentina - Cape Verde,pre_match,TOTALS_90,Under 2.5,under,0.42143271285373507,0.4274971601235693,-0.006064447269834239,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05606444726983424,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760493,2026-07-01T20:00:00+00:00,Belgium - Senegal,pre_match,1X2_90,Belgium,home,0.4253981260410196,0.4328573283597372,-0.007459202318717606,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05745920231871761,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760492,2026-06-30T21:00:00+00:00,France - Sweden,pre_match,1X2_90,Draw,draw,0.15047610366147054,0.1582939516127557,-0.00781784795128515,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05781784795128515,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760491,2026-07-01T01:00:00+00:00,Mexico - Ecuador,pre_match,TOTALS_90,Over 1.5,over,0.5833274297894655,0.5913968865938193,-0.00806945680435378,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05806945680435378,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760497,2026-07-02T19:00:00+00:00,Spain - Austria,pre_match,1X2_90,Spain,home,0.7238286134599908,0.7327966366642502,-0.008968023204259379,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.05896802320425938,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760499,2026-07-03T18:00:00+00:00,Australia - Egypt,pre_match,TOTALS_90,Over 1.5,over,0.5938801646451944,0.6034307290589276,-0.009550564413733142,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.059550564413733145,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760501,2026-07-04T01:30:00+00:00,Colombia - Ghana,pre_match,1X2_90,Ghana,away,0.1216125185470878,0.1313641025462691,-0.009751583999181301,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.059751583999181304,0.0,0.0
2026-06-29T16:22:09.041690+00:00,760496,2026-07-02T23:00:00+00:00,Portugal - Croatia,pre_match,TOTALS_90,Over 2.5,over,0.4463506479480211,0.4565889666590182,-0.010238318710997119,missing_structured_player_data,0.05,0,locked_until_30_resolved_rows,watch_only_edge_below_threshold,-0.06023831871099712,0.0,0.0
