resolved_at_utc,event_id,match_utc,home,away,actual_home_score,actual_away_score,actual_score_scope,actual_result,status,status_detail,source
2026-06-28T22:53:38.374908+00:00,760486,2026-06-28T19:00:00+00:00,South Africa,Canada,0,1,espn_final_score,away,STATUS_FULL_TIME,FT,espn_scoreboard
2026-06-29T23:12:41.068339+00:00,760487,2026-06-29T17:00:00+00:00,Brazil,Japan,2,1,espn_final_score,home,STATUS_FULL_TIME,FT,espn_scoreboard
2026-06-30T18:17:54.755832+00:00,760489,2026-06-29T20:30:00+00:00,Germany,Paraguay,1,1,espn_final_score,draw,STATUS_FINAL_PEN,FT-Pens,espn_scoreboard
2026-06-30T18:17:54.755832+00:00,760488,2026-06-30T01:00:00+00:00,Netherlands,Morocco,1,1,espn_final_score,draw,STATUS_FINAL_PEN,FT-Pens,espn_scoreboard
