event_id,match,kickoff_utc,snapshots,first_generated_at_utc,latest_generated_at_utc,minutes_to_kickoff_latest,p_home_first,p_home_latest,p_home_move,p_draw_first,p_draw_latest,p_draw_move,p_away_first,p_away_latest,p_away_move,strongest_h2h_move,strongest_h2h_move_points,total_line_first,total_line_latest,p_over_first,p_over_latest,p_over_move,latest_bookmaker_count,latest_provider,quota_remaining
760487,Brazil - Japan,2026-06-29T17:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,979.1803822833333,0.5588101995952867,0.5632827546477809,0.00447255505249422,0.2552026882169798,0.25519915490934164,-3.5333076381371953e-06,0.18598711218773353,0.1815180904428776,-0.004469021744855944,home,0.00447255505249422,2.5,2.5,0.4677183497981,0.46317362271869605,-0.004544727079403954,30,DraftKings + The Odds API,472
760489,Germany - Paraguay,2026-06-29T20:30:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,1189.1803822833333,0.7210296377021165,0.7215721556158784,0.0005425179137619196,0.17951983577558703,0.1810493437714487,0.0015295079958616842,0.09945052652229651,0.09737850061267292,-0.00207202590962359,away,-0.00207202590962359,2.5,2.5,0.5600038059727517,0.5631632670637737,0.0031594610910220533,28,DraftKings + The Odds API,472
760488,Netherlands - Morocco,2026-06-30T01:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,1459.1803822833333,0.4217012061610079,0.4237246810218215,0.0020234748608135567,0.30535442437214655,0.3080657534686083,0.0027113290964617676,0.2729443694668456,0.2682095655095702,-0.00473480395727538,away,-0.00473480395727538,2.5,2.5,0.43747018565620255,0.44023275397972805,0.002762568323525505,30,DraftKings + The Odds API,472
760490,Ivory Coast - Norway,2026-06-30T17:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,2419.180382283333,0.258457896606216,0.25980274872307485,0.0013448521168588634,0.273135048997862,0.2727690152383004,-0.00036603375956162365,0.46840705439592195,0.4674282360386248,-0.0009788183572971287,home,0.0013448521168588634,2.5,2.5,0.5157661947515978,0.5162841442302383,0.0005179494786404781,32,DraftKings + The Odds API,472
760492,France - Sweden,2026-06-30T21:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,2659.180382283333,0.7549459079670442,0.7529703613637936,-0.001975546603250611,0.15776862666381025,0.15864578023249493,0.0008771535686846743,0.08728546536914561,0.08838385840371156,0.0010983930345659504,home,-0.001975546603250611,3.5,3.5,0.4204427773795358,0.4138229750006685,-0.006619802378867279,18,DraftKings + The Odds API,472
760491,Mexico - Ecuador,2026-07-01T01:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,2899.180382283333,0.4238945881829326,0.42332954292677843,-0.0005650452561541397,0.3214273130008217,0.32196442291853183,0.0005371099177101102,0.2546780988162458,0.25470603415468973,2.793533844391849e-05,home,-0.0005650452561541397,1.5,1.5,0.6089531948879636,0.6081647046494569,-0.0007884902385066894,18,DraftKings + The Odds API,472
760495,England - Congo DR,2026-07-01T16:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,3799.180382283333,0.7560104700025634,0.7571387541396528,0.0011282841370894303,0.17019063815054217,0.16894943200085408,-0.00124120614968809,0.07379889184689456,0.07391181385949305,0.0001129220125984931,draw,-0.00124120614968809,2.5,2.5,0.5119642084287409,0.5168911845475411,0.004926976118800219,30,DraftKings + The Odds API,472
760493,Belgium - Senegal,2026-07-01T20:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,4039.180382283333,0.44128786974322187,0.4431094573227015,0.0018215875794796443,0.3001581686672796,0.2982048417439609,-0.0019533269233187323,0.2585539615894985,0.25868570093333754,0.0001317393438390324,draw,-0.0019533269233187323,2.5,2.5,0.418981035503332,0.4223861729242793,0.003405137420947335,28,DraftKings + The Odds API,472
760494,United States - Bosnia-Herzegovina,2026-07-02T00:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,4279.1803822833335,0.7048326549888326,0.7056597120917288,0.0008270571028962115,0.19067275178937515,0.19039150912990715,-0.0002812426594679951,0.10449459322179228,0.10394877877836409,-0.0005458144434281886,home,0.0008270571028962115,2.5,2.5,0.5290504368414223,0.5275128002144812,-0.0015376366269410635,32,DraftKings + The Odds API,472
760497,Spain - Austria,2026-07-02T19:00:00+00:00,5,2026-06-28T21:16:16.450351+00:00,2026-06-29T00:40:49.177063+00:00,5419.1803822833335,0.7424914722388795,0.7327686260144659,-0.00972284622441355,0.17764341190634944,0.18121294996549622,0.003569538059146782,0.07986511585477118,0.08601842402003795,0.006153308165266769,home,-0.00972284622441355,2.5,2.5,0.5095740387738815,0.5098286384391618,0.0002545996652802973,34,DraftKings + The Odds API,472
