event_id,model_version,match_paris,forecast_status,home,away,home_elo,away_elo,elo_diff,home_group_points,away_group_points,home_group_gd,away_group_gd,market_home,market_draw,market_away,lambda_home_90,lambda_away_90,p_home_after_extra,p_draw_after_extra,p_away_after_extra,recommended_result,recommended_result_probability,recommended_score_90,recommended_exact_probability_90,recommended_score_after_extra,recommended_exact_probability_after_extra,score_top3_mass_90,score_top5_mass_90,no_bet_reason,stake_eur
760486,football-forecast-lab-v2,2026-06-28 21:00,after_kickoff_or_unknown,South Africa,Canada,1559,1764,-205.0,4,4,-1,5,,,,1.1774385314641422,1.2225927936241785,0.41135838323209767,0.15261492451782566,0.4360266922500767,away,0.3622383819444741,1-1,0.14103390305886912,0-1,0.1271041723651077,0.3426566818304154,0.5188485376589912,not_pre_match,0.0
760487,football-forecast-lab-v2,2026-06-29 19:00,after_kickoff_or_unknown,Brazil,Japan,2031,1888,143.0,7,5,6,4,,,,1.3066490351030704,1.094078551265557,0.4822128039154397,0.1513985242598783,0.36638867182468193,home,0.4037736247197352,1-1,0.13996148497968916,1-0,0.13574501525591556,0.34906380438884954,0.5225435984373356,not_pre_match,0.0
760489,football-forecast-lab-v2,2026-06-29 22:30,after_kickoff_or_unknown,Germany,Paraguay,1908,1823,85.0,6,4,6,-2,,,,1.323195148156656,1.0780080637546807,0.4912522313899219,0.1509637265400126,0.35778404207006553,home,0.41198950529934225,1-1,0.13958554287701744,1-0,0.1373961951750157,0.35008765958882326,0.5229338520236737,not_pre_match,0.0
760488,football-forecast-lab-v2,2026-06-30 03:00,after_kickoff_or_unknown,Netherlands,Morocco,1971,1886,85.0,7,7,6,3,,,,1.2601181569051982,1.139934798084857,0.45666683999820407,0.152276490549906,0.39105666945188994,home,0.38071126287129203,1-1,0.14072956378959411,1-0,0.1310025489571281,0.345752028272607,0.5208346499069715,not_pre_match,0.0
760490,football-forecast-lab-v2,2026-06-30 19:00,after_kickoff_or_unknown,Ivory Coast,Norway,1743,1918,-175.0,6,6,2,1,0.26558113419427287,0.28972487366647953,0.4446939921392476,1.1545658770317766,1.4948734848857703,0.3445880828164601,0.1346173929351834,0.5207945242483565,away,0.44062589877987646,1-1,0.13176809500810333,0-1,0.1199961667493061,0.31887429443356724,0.47831033488520036,not_pre_match,0.0
760492,football-forecast-lab-v2,2026-06-30 23:00,pre_match,France,Sweden,2123,1742,381.0,9,4,8,0,0.7470586150003949,0.16170870368163515,0.09123268131796991,2.7553070026373967,0.7988844239747624,0.8471136490358437,0.056691912870002636,0.09619443809415358,home,0.7769078227179813,2-0,0.10859411423580201,2-0,0.11218936583086712,0.2950849684338238,0.44855069767259054,edge_below_threshold,0.0
760491,football-forecast-lab-v2,2026-07-01 03:00,pre_match,Mexico,Ecuador,1912,1902,10.0,9,4,6,0,0.4244579744959114,0.33561880370471814,0.23992322179937042,1.176179756783029,0.708261390047934,0.5470119238029093,0.18799371046453506,0.2649943657325557,home,0.4603518499324091,1-0,0.16855403819382578,1-0,0.20913496562933942,0.4672669085498846,0.6698164069871646,low_confidence,0.0
760495,football-forecast-lab-v2,2026-07-01 18:00,pre_match,England,Congo DR,2038,1712,326.0,7,4,4,1,0.7477325829537516,0.1797703659980429,0.0724970510482055,2.082845769526067,0.5081529548326288,0.8179880227954677,0.08977793793576586,0.0922340392687665,home,0.7376527031018306,2-0,0.16256723276150764,1-0,0.17768184658489466,0.42518994181521885,0.5934680423018739,edge_below_threshold,0.0
760493,football-forecast-lab-v2,2026-07-01 22:00,pre_match,Belgium,Senegal,1884,1842,42.0,5,3,4,2,0.43095447398840364,0.2968725513182332,0.27217297469336327,1.341120292303678,1.038930203609075,0.5066772194245985,0.15153539831307322,0.34178738226232835,home,0.42594211186902436,1-1,0.139262809252573,1-0,0.14234996116966414,0.35592394704729446,0.5282236875441885,edge_below_threshold,0.0
760494,football-forecast-lab-v2,2026-07-02 02:00,pre_match,United States,Bosnia-Herzegovina,1781,1622,159.0,6,4,4,-1,0.6954952179028774,0.19654729556586015,0.1079574865312625,2.038686512463442,0.7353523569158822,0.7551928695390436,0.09793095046255987,0.14687617999839653,home,0.6708321883627304,2-0,0.12969565659776508,1-0,0.14388045341703556,0.3504923921259994,0.5340006608305702,edge_below_threshold,0.0
